,Abs. Location,Category,Color,Entry-Level,Identifier,Image Number,Other,Referring Expression,Rel. Location,Rel. Object,Size,Testset,prev_file,same,file,region,ref_a1,ref_a2,ref_a3,ref_h_a2,ref_h_a3,ref_h_nouns,ref_gentype
357,,woman,,person,538393e7793954ad2d00011f,18770_1.jpg,,person,,,,A,1875_2.jpg,False,18770,1,in front,man in front person,blue shirt guy in pink hat,girl or men in front person,blue girl or men guy in pink hat,girl:men,a1
360,,kitchen-pot,,food,537fe044d31907d16d002765,18837_10.jpg,,right food container,,,,A,18770_1.jpg,False,18837,10,bottom right,grass on far right,white area on far right corner,book or glass on far right,white book or glass on far right corner,book:glass,a2
363,,paper,,paper,537fd22dd31907d16d002129,18861_3.jpg,,paper in person's hand,prep_in,hand,,A,18837_10.jpg,False,18861,3,in middle,wood floor in middle,white hat on table in middle,paper or desk floor in middle,white paper or desk on table in middle,paper:desk,a1
366,,mountain,,mountain,537fad6bd31907d16d000014,1900_3.jpg,,mountain above bikers,prep_above,biker,,A,18861_3.jpg,False,1900,3,in background,mountain in background mountains,mountain in background mountains on left,hill or hills in background mountains,hill or hills in background mountains on left,hill:hills,a1
369,,kitchen-pot,,thermos,537faf50d31907d16d0001c6,19034_9.jpg,,thermos with plaid design,prep_with,design,,A,1900_3.jpg,False,19034,9,in front,water bottle in front,guy in black jacket on right,bottle or square bottle in front,bottle or square in black jacket on right,bottle:square,a1
372,,train,,train,537fb08ed31907d16d000352,19063_5.jpg,,train,,,,A,19034_9.jpg,False,19063,5,top left,building on left side,big building in background on left,train or bus on left side,big train or bus in background on left,train:bus,a2
375,,trees,,hill,537fe317d31907d16d002961,19109_4.jpg,,hills in background right of the boat,prep_in_right,boat,,A,19063_5.jpg,False,19109,4,top right,trees on far right,trees on very top right side,hill or bush on far right,hill or bush on very top right side,hill:bush,a2
378,,river,,water,537fecc9d31907d16d002adb,1910_5.jpg,,water between two kayakers,prep_between,kayaker,,A,19109_4.jpg,False,1910,5,on left,brick wall on left,dark brown brick wall on left,screen or bldg wall on left,dark brown screen or bldg wall on left,screen:bldg,a1
381,right,door,,doorway,537fc084d31907d16d001569,19130_6.jpg,,right doorway,,,,A,1910_5.jpg,False,19130,6,bottom right,lamp post on right,lamp post on bottom right side,door or row post on right,door or row post on bottom right side,door:row,a1
384,left,llama,,animal,537fafa0d31907d16d00021b,19161_7.jpg,,left animal,,,,A,19130_6.jpg,False,19161,7,far left,animal on far left,dark brown horse on far left,animal or llama on far left,dark brown animal or llama on far left,animal:llama,a1
387,,church,,building,537faf2bd31907d16d0001a2,19170_2.jpg,,building,,,,A,19161_7.jpg,False,19170,2,in middle,anywhere in middle building,white building in middle dark blue,anywhere in middle church or bldg,white church or bldg in middle dark blue,church:bldg,a1
390,left,column,,pillar,537fd165d31907d16d0020fc,1925_13.jpg,,left pillar,,,,A,19170_2.jpg,False,1925,13,on left,lamp on far left,tall tree on far left side,pillar or lamp on far left,tall pillar or lamp on far left side,pillar:lamp,a1
393,,plant-pot,,vase,537fb023d31907d16d0002bd,19278_16.jpg,,vase,,,,A,1925_13.jpg,False,19278,16,bottom left,guy on left side,guy in pink hat on left,table or flowers on left side,table or flowers in pink hat on left,table:flowers,a2
396,,painting,,picture,538386acffd52689140001a0,19282_4.jpg,,picture with two vases,prep_with,vase,,A,19278_16.jpg,False,19282,4,top right,window on top right,white wall on top right side,windows or painting on top right,white windows or painting on top right side,windows:painting,a2
399,right,plant-pot,,plant,537fb957d31907d16d000ce1,19297_4.jpg,,right palnt near fountain,prep_near,fountain,,A,19282_4.jpg,False,19297,4,on right,flower pot on right,yellow flower pot on far right,cup or pot pot on right,yellow cup or pot pot on far right,cup:pot,a2
402,third,woman,,person,537fbfb5d31907d16d001464,19298_5.jpg,,3rd person from left,,,,A,19297_4.jpg,False,19298,5,bottom left,guy in front left,man in black guy on left,cap or sweater in front left,cap or sweater in black guy on left,cap:sweater,a1
405,,boat,,boat,537feddfd31907d16d002b02,19335_5.jpg,,boat on water,prep_on,water,,A,19298_5.jpg,False,19335,5,in front,boat thing in front,small brown thing in red car,boat or sign thing in front,small brown thing in red boat or sign,boat:sign,a1
408,right,bed,,bed,537fcc8fd31907d16d001fc7,19408_2.jpg,,right bed,,,,A,19335_5.jpg,False,19408,2,on right,wood thing on right,brown thing on table in front,bed or table thing on right,brown thing on bed or table in front,bed:table,a1
411,right,bed,,bed,538387e7ffd52689140002ec,19410_2.jpg,,bed on right,,,,A,19408_2.jpg,False,19410,2,on right,wall bed on right,yellow wall bed on right side,bed or bench bed on right,yellow bed or bench bed on right side,bed:bench,a1
414,,window,,flag,53838a6fffd5268914000610,19411_10.jpg,,with flag,,,,A,19410_2.jpg,False,19411,10,top left,building on top left,building in middle flag on left,windows or balcony on top left,windows or balcony in middle flag on left,windows:balcony,a2
417,,bottle,,water,537fc07bd31907d16d00155f,19582_2.jpg,,water close bottle,,,,A,19411_10.jpg,False,19582,2,in front,water bottle in front,water bottle in front on left,bottle or glass bottle in front,bottle or glass bottle in front on left,bottle:glass,a2
420,,trunk,,tree,537faefcd31907d16d00015e,19597_2.jpg,,tree trunk in background,,,,A,19582_2.jpg,False,19597,2,top left,tree trunk on left,tree trunk on top left side,cactus or trunk trunk on left,cactus or trunk trunk on top left side,cactus:trunk,a2
423,right,plant-pot,,pot,537fc230d31907d16d001735,1960_8.jpg,,right pot not the hanging one,,,,A,19597_2.jpg,False,1960,8,bottom right,light pole on right,man in red thing on right,door or dudes pole on right,door or dudes in red thing on right,door:dudes,a1
426,middle,bed,,bed,538385fdffd52689140000fd,19630_2.jpg,,middle bed,,,,A,1960_8.jpg,False,19630,2,bottom left,rock on left corner,rock in red thing on left,bed or rock on left corner,bed or rock in red thing on left,bed:rock,a2
429,,lake,,water,537fc102d31907d16d0015e1,19633_1.jpg,,big water,,,big,A,19630_2.jpg,False,19633,1,in middle,water area in middle,green area on right in middle,mountains or hill area in middle,green mountains or hill on right in middle,mountains:hill,a2
432,right,bed,,bed,5383923a793954ad2d00008a,19637_2.jpg,,the bed on the right,,,,A,19633_1.jpg,False,19637,2,on right,bed on right side,green shrubs on right side bed,bed or shrubs on right side,green bed or shrubs on right side bed,bed:shrubs,a2
435,front,hut,,building,537fd344d31907d16d002172,19655_2.jpg,entire,entire building in front,,,,A,19637_2.jpg,False,19655,2,bottom left,bottom anywhere in middle,dark area bottom anywhere in middle,bottom anywhere in middle,dark boat or gate bottom anywhere in middle,boat:gate,a2
438,middle,umbrella,,umbrella,537fb02dd31907d16d0002c7,1965_2.jpg,,umbrella middle,,,,A,19655_2.jpg,False,1965,2,in middle,house thing in middle,yellow thing in middle big building,house or train thing in middle,yellow thing in middle big house or train,house:train,a2
441,,tree,,tree,537fadded31907d16d00004b,1974_7.jpg,leafy,sad leafy tree in back,,,,A,1965_2.jpg,False,1974,7,very top,very top right corner,very top right tree in middle,very top right corner,very top right bushes or light in middle,bushes:light,a1
444,,hat,,hat,537fe40bd31907d16d0029cd,19773_3.jpg,,hat,,,,A,1974_7.jpg,False,19773,3,top right,hat guy in background,small fruit in background mans hat,hat or fruit guy in background,small hat or fruit in background mans hat,hat:fruit,a1
447,right,palm,,tree,53838b05ffd52689140006c9,1977_3.jpg,,big tree on the right,,,big,A,19773_3.jpg,False,1977,3,top right,palm tree on right,big palm tree on right corner,palm or tree tree on right,big palm or tree tree on right corner,palm:tree,a1
450,left,rafter,,person,537fafd3d31907d16d00025e,19791_1.jpg,,person on the left,,,,A,1977_3.jpg,False,19791,1,far left,guy on far left,guy in red shirt on left,pants or guy on far left,pants or guy in red shirt on left,pants:guy,a2
453,middle,rafter,,guy,537fe1b3d31907d16d002860,19791_4.jpg,,middle guy,,,,A,19791_1.jpg,False,19791,4,in middle,guy in orange shirt,guy in red shirt on left,orange or women in orange shirt,orange or women in red shirt on left,orange:women,a1
456,right,rafter,,guy,538392ca793954ad2d0000ba,19791_7.jpg,,guy on the right,,,,A,19791_4.jpg,False,19791,7,on right,person on far right,guy in middle person on right,way or orange on far right,way or orange in middle person on right,way:orange,a2
459,,plant-pot,,vase,537fc235d31907d16d00173c,19821_6.jpg,,empty vase right of flower vase,,,,A,19791_7.jpg,False,19821,6,in middle,man in middle left,man in black hat on left,way or umbrella in middle left,way or umbrella in black hat on left,way:umbrella,a2
462,left,kitchen-pot,,pot,53838555ffd5268914000087,19868_1.jpg,,pot on left,,,,A,19821_6.jpg,False,19868,1,on left,cloud on far left,white thing on far left side,pot or light on far left,white thing on far left pot or light,pot:light,a2
465,left,table,dark,table,537fec2fd31907d16d002ac4,19970_1.jpg,,dark table on left,,,,A,19868_1.jpg,False,19970,1,left corner,girl on left corner,lower left corner thing on table,bench or table on left corner,lower left corner thing on bench or table,bench:table,a1
468,,parrot,,bird,537fc423d31907d16d001985,19976_2.jpg,,bird,,,,A,19970_1.jpg,False,19976,2,in middle,guy in front middle,man in middle guy on right,bird or spiders in front middle,bird or spiders in middle guy on right,bird:spiders,a1
471,right,building,,building,537fe32bd31907d16d002972,19979_11.jpg,,right building,,,,A,19976_2.jpg,False,19979,11,top right,tree on right side,tree on far right side building,brick or lamp on right side,brick or lamp on far right side building,brick:lamp,a2
474,,tree,,tree,538396d9793954ad2d0001c0,20090_2.jpg,,small tree,,,small,A,19979_11.jpg,False,20090,2,on right,palm tree on right,palm tree on right lamp post,house or lamp tree on right,house or lamp tree on right lamp post,house:lamp,a1
477,,lamp,,,537fcc65d31907d16d001fb6,20317_1.jpg,,center thing over face,,,,A,20090_2.jpg,False,20317,1,in middle,woman in middle building,woman in middle building on right,pillar or doorway in middle building,pillar or doorway in middle building on right,pillar:doorway,a1
480,right,palm,,tree,53838772ffd5268914000262,20421_1.jpg,,right tree,,,,A,20317_1.jpg,False,20421,1,on right,palm tree on right,big palm tree on right corner,windows or pillar tree on right,big windows or pillar tree on right corner,windows:pillar,a1
483,left,palm,,palm,537fcc27d31907d16d001fa9,20421_3.jpg,,left palm,,,,A,20421_1.jpg,False,20421,3,on left,palm tree on left,big palm tree on far left,palm or house tree on left,big palm or house tree on far left,palm:house,a1
486,,horse,,horse,537fae01d31907d16d00006a,20481_5.jpg,,horse,,,,A,20421_3.jpg,False,20481,5,in middle,lady in front middle,brown horse lady in front middle,horse or animal in front middle,brown horse or animal lady in front middle,horse:animal,a1
489,,man,,man,537fb6e5d31907d16d000a0b,2050_10.jpg,,man in red sweater,prep_in,sweater,,A,20481_5.jpg,False,2050,10,in middle,guy in orange shirt,guy in red shirt on right,orange or lady in orange shirt,orange or lady in red shirt on right,orange:lady,a2
492,,castle,,building,537fd6c4d31907d16d002260,20534_2.jpg,,building,,,,A,2050_10.jpg,False,20534,2,bottom right,building on bottom right,building center statue thing on right,church or statue on bottom right,church or statue center statue thing on right,church:statue,a1
495,,umbrella,,umbrella,537fb95bd31907d16d000ce4,2059_1.jpg,,umbrella,,,,A,20534_2.jpg,False,2059,1,top right,tree top right corner,tree in orange top right corner,orange or windows top right corner,orange or windows in orange top right corner,orange:windows,a2
498,right,plant,,,537fb791d31907d16d000ad4,20689_1.jpg,,right middle of screen,,,,A,2059_1.jpg,False,20689,1,lower right,anywhere on right side,big rock in front right side,anywhere on right branch or vehicle,big branch or vehicle in front right side,branch:vehicle,a1
501,,waterfall,,waterfall,537fb91fd31907d16d000ca0,20707_2.jpg,,water fall,,,,A,20689_1.jpg,False,20707,2,in middle,trees on left side,trees in yellow hat on left,hat or flower on left side,hat or flower in yellow hat on left,hat:flower,a1
504,,glass,,,537fea9ad31907d16d002a9b,20754_3.jpg,,green,,,,A,20707_2.jpg,False,20754,3,in center,plant pot in center,yellow flower pot plant in center,pot or glass pot in center,yellow pot or glass pot plant in center,pot:glass,a1
507,,dog,,dog,537fafa8d31907d16d000225,20984_2.jpg,,dog,,,,A,20754_3.jpg,False,20984,2,bottom right,area on right corner,tiny area on far right corner,dog or plate on right corner,tiny dog or plate on far right corner,dog:plate,a1
510,,river,,,537fb1b0d31907d16d000476,21152_1.jpg,,top,,,,A,20984_2.jpg,False,21152,1,top left,mountain top left corner,anywhere in background mountain top left,men or mountain top left corner,anywhere in background men or mountain top left,men:mountain,a1
513,,hat,,hat,537fc01bd31907d16d0014e0,21172_2.jpg,,hat,,,,A,21152_1.jpg,False,21172,2,upper left,guys head on left,green plants guys head on left,hat or guys head on left,green hat or guys guys head on left,hat:guys,a1
516,,cloth,,shirt,537fc09cd31907d16d00157d,21238_4.jpg,,shirt,,,,A,21172_2.jpg,False,21238,4,bottom left,sand bottom left corner,sand bottom left in pink shirt,sand or chick bottom left corner,sand or chick bottom left in pink shirt,sand:chick,a1
519,,child-girl,,girl,537fcee0d31907d16d002055,21681_1.jpg,,girl,,,,A,21238_4.jpg,False,21681,1,bottom right,girl in front ground,little girl in grey stone ground,girl or boy in front ground,little girl or boy in grey stone ground,girl:boy,a1
522,,child-girl,,,537faeced31907d16d000132,21686_1.jpg,,blue,,,,A,21681_1.jpg,False,21686,1,on right,girl in front right,girl in front row kids face,hat or lady in front right,hat or lady in front row kids face,hat:lady,a1
525,first,horse,brown,horse,537fae31d31907d16d00008e,21918_5.jpg,,1st brown horse from left,,,,A,21686_1.jpg,False,21918,5,on left,person on left side,brown horse on far left side,horse or head on left side,brown horse or head on far left side,horse:head,a2
528,middle,horse,,horse,538387c5ffd52689140002bb,22147_3.jpg,,middle horse,,,,A,21918_5.jpg,False,22147,3,in middle,person in front middle,person in middle horse on left,horse or animal in front middle,horse or animal in middle horse on left,horse:animal,a2
531,,lake,,water,537faf13d31907d16d00017a,22170_10.jpg,,water between middle and front guy,prep_between,guy,,A,22147_3.jpg,False,22170,10,in middle,lady in middle window,lady in white wall on right,curtain or doorway in middle window,curtain or doorway in white wall on right,curtain:doorway,a2
